x2-x1 y2-y1 a_i a_i-a (a_i-a)^2
0.08  3.6   45   12   1.4e+02
0.08  3.4   43   10   1e+02
0.08  3   38   5   25
0.08  2.8   35   2   4
0.08  2.5   31   -2   4
0.08  2.2   28   -5   25
0.08  1.9   24   -9   81
0.08  1.7   21   -12   1.4e+02
--------------------------------------------
Sum(a_i-a)= 2.6e+02 Sum(a_i-a)^2=5.2e+02
Среднее арифитическое 33
Погрешность a 7.3
e/k= 9.8e+03
e/k Погрешность, как погрешность косвенных измерений 2.2e+03
